epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5363,0.92871,1.80509,1.1206,0.55125,0.39788,0.34591,0.24269,0.83978,1.22914,1.00556,0.000166332,0.000166332,0.0668999
2,104.819,0.88859,1.52674,1.10046,0.3922,0.37783,0.362,0.24986,0.81665,1.22228,0.99479,0.000332491,0.000332491,0.0337328
3,154.197,0.88904,1.49329,1.09848,0.47364,0.39217,0.36073,0.24982,0.78289,1.17036,0.98706,0.00049662,0.00049662,0.000563555
4,203.449,0.88081,1.44032,1.09959,0.53814,0.40096,0.38067,0.26606,0.77386,1.15117,0.98802,0.000493162,0.000493162,0.000493162
5,252.794,0.86842,1.39193,1.09115,0.49074,0.38951,0.39535,0.27529,0.75304,1.11065,0.97068,0.000487886,0.000487886,0.000487886
6,301.852,0.85046,1.30795,1.0843,0.50401,0.41986,0.40354,0.27333,0.85283,1.14046,0.99778,0.00048116,0.00048116,0.00048116
7,350.799,0.84235,1.28539,1.08045,0.44885,0.41174,0.42119,0.28422,0.75178,1.04801,0.96765,0.000473024,0.000473024,0.000473024
8,400.304,0.82903,1.24654,1.06725,0.49995,0.41669,0.39671,0.27,0.81176,1.08089,0.97935,0.000463528,0.000463528,0.000463528
9,449.905,0.83044,1.24177,1.06319,0.48508,0.41466,0.40286,0.28059,0.76073,1.06438,0.97288,0.000452732,0.000452732,0.000452732
10,499.209,0.81689,1.20268,1.05632,0.5514,0.40845,0.41737,0.28368,0.8118,1.07381,0.9814,0.0004407,0.0004407,0.0004407
11,548.396,0.8024,1.2078,1.05471,0.49213,0.43696,0.43074,0.29033,0.77191,1.02837,0.97743,0.000427509,0.000427509,0.000427509
12,597.725,0.80512,1.17887,1.05077,0.63385,0.43393,0.43047,0.29297,0.74387,1.04161,0.95839,0.000413238,0.000413238,0.000413238
13,646.948,0.80264,1.16394,1.05528,0.63406,0.41347,0.44732,0.30786,0.76865,0.99451,0.9707,0.000397977,0.000397977,0.000397977
14,696.065,0.79269,1.1394,1.04367,0.67191,0.45224,0.43473,0.30362,0.75457,0.99403,0.96786,0.000381818,0.000381818,0.000381818
15,746.611,0.7929,1.12186,1.04062,0.60971,0.43477,0.45779,0.30903,0.77034,0.98621,0.96741,0.000364863,0.000364863,0.000364863
16,795.898,0.77324,1.07426,1.03809,0.62477,0.43477,0.45437,0.31267,0.74363,0.98541,0.9721,0.000347214,0.000347214,0.000347214
17,844.031,0.76712,1.05788,1.03499,0.60791,0.42031,0.44453,0.30865,0.76069,0.97396,0.96921,0.000328982,0.000328982,0.000328982
18,892.179,0.76356,1.05206,1.0327,0.71771,0.42058,0.4751,0.32536,0.7294,0.95907,0.96576,0.000310278,0.000310278,0.000310278
19,940.255,0.74994,1.04078,1.02422,0.56607,0.47851,0.46517,0.31641,0.73964,0.9562,0.9601,0.000291218,0.000291218,0.000291218
20,988.729,0.75034,0.9985,1.0223,0.61279,0.43882,0.45604,0.3129,0.80067,0.979,0.97773,0.000271919,0.000271919,0.000271919
21,1036.81,0.7532,1.01543,1.02689,0.55566,0.49905,0.48655,0.3228,0.76756,0.93918,0.97795,0.0002525,0.0002525,0.0002525
22,1084.79,0.7436,0.98495,1.0235,0.54316,0.45342,0.46028,0.32325,0.71993,0.92584,0.96613,0.000233081,0.000233081,0.000233081
