epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.424,0.86076,3.12851,1.13174,0.46237,0.36752,0.36331,0.25638,0.75956,2.17125,0.9882,0.000133183,0.000133183,0.0668375
2,233.734,0.83281,2.70663,1.1045,0.44067,0.41785,0.40269,0.27975,0.72436,2.12589,0.9883,0.000266335,0.000266335,0.0336373
3,345.342,0.82487,2.5861,1.10302,0.44936,0.45866,0.43506,0.29657,0.76177,2.10459,0.99639,0.000398765,0.000398765,0.00043643
4,457.173,0.82368,2.48399,1.09831,0.52766,0.43866,0.41709,0.28648,0.78157,2.03971,1.00512,0.000397562,0.000397562,0.000397562
5,568.702,0.79807,2.36205,1.08621,0.52287,0.47531,0.49158,0.33009,0.72412,1.84237,0.97822,0.000395673,0.000395673,0.000395673
6,680.07,0.78728,2.26787,1.07832,0.49337,0.4818,0.44465,0.30402,0.76324,1.94733,0.99168,0.000393253,0.000393253,0.000393253
7,791.711,0.7836,2.22645,1.07607,0.60034,0.45842,0.46601,0.31294,0.75033,1.88208,0.99339,0.000390309,0.000390309,0.000390309
8,903.479,0.77531,2.15384,1.06836,0.59286,0.46331,0.4638,0.31341,0.70724,1.82187,0.97998,0.000386849,0.000386849,0.000386849
9,1014.8,0.76448,2.09461,1.0656,0.61503,0.50136,0.50536,0.33184,0.73639,1.80358,0.99147,0.000382882,0.000382882,0.000382882
10,1126.27,0.7569,2.04738,1.06441,0.50567,0.49416,0.48899,0.32152,0.76081,1.84901,0.99606,0.000378419,0.000378419,0.000378419
11,1237.98,0.74794,2.00051,1.05336,0.55603,0.43917,0.45834,0.31879,0.74119,1.82291,0.98986,0.000373473,0.000373473,0.000373473
12,1349.72,0.73826,1.93055,1.04619,0.54155,0.42909,0.4546,0.31502,0.72914,1.84032,0.9922,0.000368057,0.000368057,0.000368057
13,1460.85,0.73924,1.92156,1.04666,0.54439,0.49199,0.48491,0.33841,0.71669,1.79142,0.98004,0.000362185,0.000362185,0.000362185
14,1572.49,0.7313,1.86622,1.03878,0.52677,0.50804,0.49257,0.33456,0.73144,1.81967,0.9766,0.000355875,0.000355875,0.000355875
15,1684,0.71751,1.81451,1.03214,0.53853,0.5175,0.49037,0.33377,0.70504,1.74762,0.9815,0.000349143,0.000349143,0.000349143
16,1795.16,0.71726,1.76871,1.03215,0.60266,0.46786,0.47183,0.32351,0.7207,1.77548,0.98123,0.000342007,0.000342007,0.000342007
17,1906.43,0.71166,1.75539,1.03063,0.60914,0.50118,0.51659,0.35723,0.70479,1.73787,0.98174,0.000334488,0.000334488,0.000334488
18,2018.36,0.7036,1.71315,1.01972,0.64189,0.47134,0.51309,0.34076,0.71234,1.75065,0.9722,0.000326605,0.000326605,0.000326605
19,2129.29,0.69913,1.69186,1.01901,0.48973,0.52028,0.49126,0.33485,0.71841,1.74788,0.9806,0.000318381,0.000318381,0.000318381
20,2240.83,0.693,1.66139,1.01493,0.67899,0.49286,0.53545,0.35834,0.70906,1.71123,0.98236,0.000309839,0.000309839,0.000309839
21,2352.54,0.69328,1.62711,1.01535,0.59277,0.51625,0.49897,0.33646,0.72216,1.75789,0.98309,0.000301,0.000301,0.000301
22,2463.83,0.67999,1.58951,1.01017,0.62608,0.51388,0.52213,0.34896,0.70838,1.75044,0.97183,0.00029189,0.00029189,0.00029189
23,2575.11,0.67547,1.54654,1.00598,0.61642,0.50268,0.49579,0.33796,0.71067,1.71643,0.98321,0.000282534,0.000282534,0.000282534
24,2686.55,0.67323,1.5532,1.005,0.66224,0.47842,0.50293,0.33581,0.69555,1.70018,0.96572,0.000272957,0.000272957,0.000272957
