epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,810.118,1.0811,5.51352,1.43718,0.53791,0.41684,0.38706,0.26553,0.81906,2.89996,1.06497,0.00011665,0.00011665,0.066788
2,1583.4,1.01948,4.73886,1.39181,0.4068,0.44102,0.40984,0.29215,0.75524,2.50017,1.03891,0.000233228,0.000233228,0.0335713
3,2349.76,0.98706,4.38279,1.36078,0.45035,0.47797,0.44394,0.30544,0.78521,2.52553,1.05205,0.00034945,0.00034945,0.000354139
4,3115.62,0.95215,4.05774,1.33167,0.48167,0.4581,0.46016,0.31824,0.80468,2.47259,1.059,0.000348799,0.000348799,0.000348799
5,3877.77,0.9273,3.82034,1.31161,0.5692,0.45555,0.47431,0.3218,0.77041,2.3779,1.03679,0.000347867,0.000347867,0.000347867
6,4631.91,0.90681,3.61761,1.29181,0.48191,0.52831,0.44116,0.30112,0.74608,2.29086,1.02322,0.000346671,0.000346671,0.000346671
7,5385.29,0.89028,3.44956,1.27972,0.48641,0.4958,0.48049,0.33311,0.74232,2.25141,1.0241,0.000345213,0.000345213,0.000345213
8,6137.86,0.87486,3.31092,1.26312,0.54179,0.48241,0.48039,0.33227,0.743,2.26943,1.03426,0.000343495,0.000343495,0.000343495
9,6888.91,0.85789,3.18166,1.24989,0.56046,0.50668,0.49704,0.33795,0.74491,2.18112,1.02416,0.000341521,0.000341521,0.000341521
10,7641.43,0.84714,3.07246,1.2404,0.59295,0.48604,0.51856,0.35525,0.71701,2.19347,1.0227,0.000339292,0.000339292,0.000339292
11,8392.71,0.83759,2.97797,1.22812,0.56293,0.50911,0.50108,0.34217,0.7271,2.26077,1.02548,0.000336812,0.000336812,0.000336812
12,9144.41,0.82508,2.9019,1.21859,0.53839,0.5747,0.49215,0.33482,0.73242,2.20617,1.02133,0.000334086,0.000334086,0.000334086
13,9896.65,0.81488,2.83279,1.21132,0.6022,0.49714,0.49352,0.34252,0.73489,2.21607,1.02252,0.000331117,0.000331117,0.000331117
14,10648.2,0.80535,2.74594,1.20518,0.49694,0.54484,0.47446,0.32968,0.73665,2.18159,1.02186,0.00032791,0.00032791,0.00032791
15,11400.7,0.79511,2.6991,1.19627,0.61172,0.54518,0.5191,0.34351,0.73705,2.17462,1.01873,0.00032447,0.00032447,0.00032447
16,12151.8,0.78781,2.62626,1.18766,0.54963,0.54184,0.50958,0.34634,0.74386,2.19406,1.0329,0.000320802,0.000320802,0.000320802
17,12904.6,0.77844,2.57629,1.17943,0.62456,0.4967,0.52165,0.35586,0.73077,2.1624,1.02444,0.000316912,0.000316912,0.000316912
18,13656.8,0.77123,2.5191,1.1743,0.62071,0.48875,0.5072,0.34076,0.73128,2.16475,1.02267,0.000312806,0.000312806,0.000312806
19,14408.6,0.76359,2.478,1.16969,0.60206,0.4856,0.48023,0.33149,0.72629,2.17411,1.02335,0.00030849,0.00030849,0.00030849
20,15159.6,0.75683,2.42038,1.16259,0.51472,0.52919,0.49211,0.32932,0.7379,2.19748,1.027,0.000303971,0.000303971,0.000303971
21,15910.8,0.74667,2.37608,1.15374,0.64541,0.47201,0.49774,0.34082,0.73188,2.22402,1.03031,0.000299256,0.000299256,0.000299256
22,16662.8,0.74344,2.343,1.15301,0.62351,0.48083,0.49297,0.33835,0.73137,2.22494,1.02116,0.000294352,0.000294352,0.000294352
23,17414.6,0.73908,2.32471,1.15231,0.61171,0.49075,0.50571,0.34871,0.73424,2.20972,1.03006,0.000289267,0.000289267,0.000289267
24,18166.7,0.73344,2.30256,1.14807,0.57497,0.53489,0.4995,0.34405,0.71805,2.16475,1.01873,0.000284008,0.000284008,0.000284008
25,18918.1,0.72356,2.24508,1.13842,0.61597,0.48247,0.49976,0.34138,0.73217,2.22762,1.02735,0.000278584,0.000278584,0.000278584
26,19669.3,0.71829,2.22307,1.13301,0.56164,0.51286,0.4868,0.33391,0.72628,2.21101,1.01608,0.000273003,0.000273003,0.000273003
